name,image_url
General Tso's Chicken,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/General_Tso_s_Chicken_okQRpwFFX.jpg
Hot and Sour Soup,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Hot_and_Sour_Soup_pgZB0xLgH.jpg
Egg Fried Rice,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Egg_Fried_Rice_pdBJB5tdZ.jpg
Char Siu,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Char_Siu_i89qUvzSU.jpg
Xiaolongbao,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Xiaolongbao_kjp-uLS7AB.jpg
Congee,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Congee_AK1BypM7R.jpg
Spring Onion Pancake,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Spring_Onion_Pancake_lDs4U8aOC.jpg
Katsu Curry,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Katsu_Curry_WpDcQC-qr.jpg
Yakitori,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Yakitori_qsHnW-Qz1.jpg
Gyoza,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Gyoza_-uOBvTh_v.jpg
Takoyaki,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Takoyaki_uI7RY6vr3.jpg
Okonomiyaki,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Okonomiyaki_GiDtt2uzs.jpg
Soba,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Soba_bhLjCmbeR.jpg
Chirashi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chirashi_9v-VxbhWN.jpg
Japchae,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Japchae_97A0qd36X.jpg
Samgyeopsal,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Samgyeopsal_I_TNxq8X3.jpg
Naengmyeon,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Naengmyeon_iVk2Lc978c.jpg
Sundubu Jjigae,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Sundubu_Jjigae_gm50COyuv.jpg
Gimbap,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Gimbap_O2_w1DLHX.jpg
Som Tam,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Som_Tam_L3l7FV-zJ.jpg
Massaman Curry,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Massaman_Curry_jtc2TqZwA.jpg
Pad Krapow,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pad_Krapow_QsNZy9nl-.jpg
Larb,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Larb_S0dn0_fkj.jpg
Khao Soi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Khao_Soi_XBaCkXauA.jpg
Bun Bo Hue,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Bun_Bo_Hue_KSxTG9s2j.jpg
